source_id,source_file,source_title,author,year,extract,chapter,pipeline_step,secondary_step,extract_type,themes,llm_relevance,relevance_rationale,notes
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Data can be the source of data journalism, or it can be the tool with which the story is told—or it can be both. Like any source, it should be treated with skepticism; and like any tool, we should be conscious of how it can shape and restrict the stories that are created with it.",What Is Data Journalism?,Define,,epistemological,data skepticism; framing effects,endures,Foundational epistemological principle remains essential in any technological era,
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Data analysis can reveal 'a story's shape' (Sarah Cohen), or provides us with a 'new camera' (David McCandless). By using data, the job of journalists shifts its main focus from being the first ones to report to being the ones telling us what a certain development might actually mean.",Why Journalists Should Use Data,Define,Analyse,epistemological,interpretive journalism; data as lens,endures,Core data journalism insight persists regardless of AI tooling,
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Becoming knowledgeable in searching, cleaning, and visualizing data is transformative for the profession of information gathering. Journalists who master this will experience that building articles on facts and insights is a relief. Less guessing, less looking for quotes; instead, a journalist can build a strong position supported by data.",Why Journalists Should Use Data,Define,,epistemological,evidence-based reporting; data literacy,endures,Core data journalism insight persists regardless of AI tooling,
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"When information was scarce, most of our efforts were devoted to hunting and gathering. Now that information is abundant, processing is more important. We process at two levels: 1) analysis to bring sense and structure out of the never-ending flow of data and 2) presentation to get what's important and relevant into the consumer's head. Like science, data journalism discloses its methods and presents its findings in a way that can be verified by replication.",Why Is Data Journalism Important?,Define,,epistemological,scientific method; transparency; replicability,endures,Foundational epistemological principle remains essential in any technological era,Philip Meyer quote
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Figures are more likely to be taken at face value than other facts, as they carry an aura of seriousness even when they are entirely fabricated. Fluency with data will help journalists sharpen their critical sense when faced with numbers and will hopefully help them gain back some terrain in their exchanges with PR departments.",Why Is Data Journalism Important?,Verify,,epistemological,numerical literacy; critical thinking; PR counter,endures,Foundational epistemological principle remains essential in any technological era,Nicolas Kayser-Bril
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Journalists need to have access to raw data, and to learn not to rely on official interpretations of it.",Why Is Data Journalism Important?,Verify,,epistemological,independent analysis; official data skepticism,endures,Core data journalism insight persists regardless of AI tooling,Isao Matsunami on Fukushima
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"The exercise should not be about just analyzing or visualizing data for the sake of it, but to use it as a tool to get closer to the truth of what is going on in the world. I see the ability to be able to analyze and interpret data as an essential part of today's journalists' toolkit, rather than a separate discipline.",Why Is Data Journalism Important?,Define,,epistemological,journalism first; integrated skills,endures,Core data journalism insight persists regardless of AI tooling,Cynthia O'Murchu
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Ideally, you use the data to pinpoint outliers, areas of interest, or things that are surprising. In this sense, data can act as a lead or a tip off. While numbers can be interesting, just writing about the data is not enough. You still need to do the reporting to explain what it means.",Why Is Data Journalism Important?,Analyse,,epistemological,outlier detection; data as lead; reporting still essential,endures,Core data journalism insight persists regardless of AI tooling,Cynthia O'Murchu
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"Precision journalism was envisioned to be practiced in mainstream media institutions by professionals trained in journalism and social sciences. It was born in response to 'new journalism,' a form of journalism in which fiction techniques were applied to reporting. Meyer suggests that scientific techniques of data collection and analysis, rather than literary techniques, are what is needed for journalism to accomplish its search for objectivity and truth.",Data Journalism in Perspective,Define,,epistemological,precision journalism; scientific method; objectivity,endures,Core data journalism insight persists regardless of AI tooling,Historical context from Liliana Bounegru
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"CAR is a technique for gathering and analyzing data as a way of enhancing (usually investigative) reportage, whereas data journalism pays attention to the way that data sits within the whole journalistic workflow. In this sense data journalism pays as much—and sometimes more—attention to the data itself, rather than using data simply as a means to find or enhance stories.",Data Journalism in Perspective,Define,,epistemological,CAR vs data journalism; workflow; data as product,endures,Core data journalism insight persists regardless of AI tooling,
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"By enabling anyone to drill down into data sources and find information that is relevant to them, as well as to verify assertions and challenge commonly received assumptions, data journalism effectively represents the mass democratization of resources, tools, techniques, and methodologies that were previously used by specialists.",Data Journalism in Perspective,Define,,epistemological,democratization; data literacy; public participation,endures,Core data journalism insight persists regardless of AI tooling,Liliana Bounegru
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,Co-location of the team is vital. Our developer and designer were offsite and came in for meetings. This is definitely not optimal\! Place everyone in the same room as the journalists.,The ABC's Data Journalism Play,Define,,organizational,co-location; team structure; newsroom integration,endures,Newsroom organization and collaboration patterns remain relevant regardless of AI tools,"Wendy Carlisle, ABC"
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"The ABC data journalism team comprised: a web developer and designer, a lead journalist, a part-time researcher with expertise in data extraction, Excel spreadsheets, and data cleaning, a part-time junior journalist, a consultant executive producer, an academic consultant with expertise in data mining, graphic visualization, and advanced research skills, and a reference group of journalists consulted on an as-needed basis.",The ABC's Data Journalism Play,Define,,organizational,team composition; interdisciplinary skills; data journalism roles,endures,Newsroom organization and collaboration patterns remain relevant regardless of AI tools,ABC project team structure
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,Data journalism at the BBC broadly covers projects that use data to do one or more of the following: enable a reader to discover information that is personally relevant; reveal a story that is remarkable and previously unknown; help the reader to better understand a complex issue.,Data Journalism at the BBC,Define,,epistemological,personalization; discovery; explanation; BBC framework,endures,Core data journalism insight persists regardless of AI tooling,Three purposes of data journalism at BBC
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"In this area, we have found it most productive to partner with investigative teams or programs that have the expertise and time to investigate a story. As well as partnering with investigative journalists, having access to numerous journalists with specialist knowledge is essential.",Data Journalism at the BBC,Analyse,,organizational,collaboration; investigative partnerships; domain expertise,endures,Newsroom organization and collaboration patterns remain relevant regardless of AI tools,BBC approach to mining data for stories
7,07-ddj-handbook-1.md,The Data Journalism Handbook 1,"Jonathan Gray, Liliana Bounegru, Lucy Chambers (eds.)",2012,"The team that produces data journalism for the BBC News website is comprised of about 20 journalists, designers, and developers. We don't have people who are specifically identified as data journalists, but all editorial staff on the team have to be proficient at using basic spreadsheet applications such as Excel and Google Docs to analyze data. While we are all either a journalist, designer, or developer 'first,' we continue to work hard to increase our understanding and proficiency in each other's areas of expertise.",Data Journalism at the BBC,Define,,organizational,team structure; cross-skilling; spreadsheet proficiency,endures,Newsroom organization and collaboration patterns remain relevant regardless of AI tools,BBC visual journalism team
