source_id,source_title,author,year,pipeline_step,extract_type,themes,extract,relevance_rationale,notes
8,Facts Are Sacred,Simon Rogers,2013,Get,tool-specific,PDF extraction; Adobe Professional; Text Wrangler; HTML tables,"Tables on pages can sometimes be extracted using Adobe Professional (which has an option if you highlight the table and control-click it). Often it's simpler to use a basic programme like Text Wrangler to access the data. If a table's published on a web page, one thing worth trying is saving the web page as html -- and then opening it in Excel, which then opens it as a table.",Specific tool advice about Adobe Professional and Text Wrangler for PDF extraction is obsolete; LLMs handle this natively,
8,Facts Are Sacred,Simon Rogers,2013,Present,tool-specific,Google Charts; Google Fusion Tables; free tools; quick output,"At the end of that process is the output -- will it be a story or a graphic or a visualisation, and what tools will we use? Our top tools are the free ones that we can produce something quickly with. We commonly use Google charts for small line graphs and pies, or Google Fusion Tables to create maps quickly and easily.",Google Fusion Tables is discontinued; the specific free tool recommendations are entirely outdated,
10,Finding Stories in Spreadsheets,Paul Bradshaw,2015,Analyse,procedural,self-directed learning; function discovery; search strategy,"You can start to search for useful functions whenever you come across a task or problem which you think others may have already solved, adding the word 'function'. For example, 'Excel function extract day from date' or 'Google spreadsheets function count blank cells'.",LLMs now serve as the primary way to discover spreadsheet functions rather than searching with keywords,
21,Digital Investigative Journalism,"Oliver Hahn, Florian Stalph (eds.)",2018,Verify,tool-specific,video verification; YouTube; reverse image search; Amnesty International,"Videos can be harder to find. Unlike photographs, there is currently no reverse search platform for videos, but Amnesty International's YouTube Dataviewer will extract the preview frames from a YouTube video, allowing them to be easily reverse image searched. However, it will not be accurate if the video is edited, shortened, or extended with additional footage.","AI video analysis and reverse video search tools now exist, making the no-reverse-search-for-video limitation obsolete",
33,Data Journalism: A Quick & Practical Guide,Rob Wells,ongoing,Clean,procedural,text cleaning; URL removal; preprocessing,What we want to do is to make the content column easier to analyze. ... We'll probably want to remove URLs from the text of the tweets since they aren't actual words.,Manual text preprocessing like URL removal and tokenization is handled automatically by LLMs,Strip URLs before tokenising text; they add noise to word frequency counts
33,Data Journalism: A Quick & Practical Guide,Rob Wells,ongoing,Clean,procedural,tokenisation; case normalisation; punctuation removal; text preprocessing,"If you are trying to create a list of unique words, R will treat differences in capitalization as unique and also will include punctuation by default ... Fortunately, this is a solved problem with tidytext, which has a function called unnest_tokens that will convert the text to lowercase and remove all punctuation.",Case normalization and punctuation handling for text analysis is obsoleted by LLM text understanding,unnest_tokens handles lowercase conversion and punctuation removal in one step
33,Data Journalism: A Quick & Practical Guide,Rob Wells,ongoing,Clean,procedural,stop words; text preprocessing; word frequency,"Well, that's a bit underwhelming - a lot of very common (and short) words. This also is a solved problem in working with text data, and words like 'a' and 'the' are known as 'stop words.' In most cases you'll want to remove them from your analysis since they are so common.",Stop-word removal as a manual step is obsoleted by LLMs that inherently understand word significance,Remove stop words to surface meaningful content words in frequency analysis
33,Data Journalism: A Quick & Practical Guide,Rob Wells,ongoing,Analyse,procedural,ngrams; bigrams; text analysis; multi-word phrases,The next step in text analysis is using ngrams. An ngram is any combination of words that you specify. Two word ngrams are called bigrams (bi-grams). Three would be trigrams.,N-gram frequency analysis is largely superseded by LLM semantic understanding of text,Move from single-word to multi-word analysis to capture phrases and richer patterns
37,The Art and Science of Data-Driven Journalism,Alexander Howard,2014,Get,procedural,crowdsourcing; data-creation; PDF-extraction,"ProPublica created a software application to enable volunteers to translate unsearchable PDF files into structured data and sort the files by market, amount, candidate, and political group. Nearly 1,000 people pored over the files, logging detailed ad spending data to create a public database that otherwise wouldn't exist.",Crowdsourcing PDF-to-structured-data conversion has been largely replaced by LLM-powered document extraction and OCR,Free the Files project
37,The Art and Science of Data-Driven Journalism,Alexander Howard,2014,Analyse,tool-specific,tool-ecosystem; workflow-design,"The canonical suite of tools for computer-assisted reporting: spreadsheets, databases, text editors, and statistics software. Today, data journalists also leverage Web-based tools like Open Refine, Google Fusion Tables, and Tableau, and modern programming languages like Python, Ruby, and Javascript, as well as d3.","The canonical tool list (Excel, Access, Fusion Tables, etc.) is thoroughly outdated; LLMs plus modern tools have replaced most of this specific stack",
